type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,40:91:51:FC:DF:8D,-71,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,45062,0,34,0,0,0.453574,128,[34 32 2 0 0 0 0 0 0 0 0 0 21 -20 20 -20 24 -19 25 -19 23 -17 24 -15 25 -14 24 -12 24 -12 24 -11 25 -12 25 -10 24 -10 24 -8 22 -7 24 -6 23 -8 21 -7 20 -6 18 -6 20 -5 19 -7 18 -5 19 -6 18 -8 16 -7 0 0 16 -8 15 -9 15 -10 13 -12 12 -12 14 -12 14 -11 13 -11 14 -14 15 -11 14 -14 12 -13 13 -15 15 -16 14 -17 15 -16 14 -17 14 -17 15 -18 14 -17 15 -18 12 -19 12 -18 12 -18 11 -19 9 -19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-71,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,96766,0,131,0,0,0.504954,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -13 -20 -13 -21 -15 -24 -11 -24 -12 -22 -11 -21 -11 -23 -8 -21 -8 -23 -6 -22 -6 -23 -6 -24 -5 -23 -4 -22 -4 -20 -4 -23 -5 -20 -5 -19 -4 -19 -4 -18 -3 -16 -4 -18 -4 -15 -3 -14 -5 -16 -4 -15 0 0 -7 -13 -8 -14 -8 -12 -9 -12 -8 -13 -9 -12 -9 -12 -10 -12 -12 -10 -12 -11 -12 -12 -10 -9 -11 -10 -13 -11 -14 -11 -15 -10 -16 -11 -15 -10 -16 -10 -15 -8 -15 -8 -16 -9 -16 -8 -17 -10 -16 -7 -17 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-73,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,4104820,0,30,0,0,4.51303,128,[30 -32 1 0 0 0 0 0 0 0 0 0 11 -28 12 -26 13 -30 15 -27 15 -26 16 -23 17 -23 18 -21 18 -20 17 -19 18 -20 20 -21 18 -18 19 -19 18 -16 19 -17 19 -18 15 -15 16 -14 16 -13 14 -12 15 -12 12 -12 13 -12 11 -14 11 -12 0 0 7 -14 7 -15 8 -15 5 -17 4 -16 3 -16 5 -17 4 -17 1 -18 1 -18 2 -21 0 -18 -1 -22 1 -22 0 -24 -3 -25 -2 -23 -3 -23 -2 -24 -4 -25 -2 -24 -4 -24 -5 -22 -7 -26 -8 -23 -7 -23 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-74,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9372353,0,131,0,0,9.78088,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -5 22 -6 22 -6 24 -9 23 -9 22 -10 21 -11 21 -12 19 -15 20 -13 18 -15 21 -15 19 -16 20 -17 18 -15 15 -19 18 -16 15 -14 14 -15 14 -15 12 -14 12 -15 13 -13 11 -12 12 -11 13 -11 13 0 0 -10 12 -9 15 -7 14 -6 14 -6 13 -6 16 -6 16 -5 15 -4 15 -4 14 -4 18 -4 15 -1 20 -3 20 -2 19 -1 20 -1 21 -1 18 1 22 0 18 0 21 1 21 2 19 4 21 5 19 5 19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-74,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9376092,0,135,0,0,9.81414,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -12 -4 -12 -6 -14 -7 -14 -8 -13 -8 -12 -7 -12 -8 -11 -10 -12 -10 -9 -10 -10 -11 -10 -10 -10 -10 -9 -11 -10 -11 -9 -10 -9 -9 -8 -9 -7 -9 -6 -9 -7 -8 -7 -10 -6 -7 -7 -8 -6 -8 -7 -8 0 0 -9 -6 -8 -5 -8 -5 -9 -4 -9 -4 -9 -5 -9 -3 -10 -4 -9 -2 -8 -4 -12 -3 -10 -2 -11 0 -12 0 -12 -1 -13 -1 -12 -1 -12 0 -12 0 -13 1 -13 1 -12 1 -12 2 -13 1 -12 2 -13 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-78,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9468044,0,239,0,0,9.87662,128,[-17 -16 14 0 0 0 0 0 0 0 0 0 9 2 9 3 10 3 9 5 9 4 8 3 7 5 8 5 7 5 7 5 7 5 6 4 7 5 6 5 5 4 6 5 5 5 4 4 5 4 3 4 3 2 4 3 2 3 4 2 2 3 4 2 0 0 4 0 5 1 4 0 5 -1 5 -2 6 -1 6 -2 6 -2 5 -3 5 -1 6 -3 5 -2 6 -4 7 -3 6 -3 6 -3 7 -6 6 -6 8 -4 7 -5 7 -5 7 -5 5 -5 6 -5 5 -7 6 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-68,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,11150705,0,37,0,0,11.5592,128,[37 80 2 0 0 0 0 0 0 0 0 0 -20 -12 -14 -25 -16 -19 -18 -18 -9 -23 -5 -13 -7 -24 -4 -18 -2 -22 -14 -17 -11 -14 -12 -20 -6 -23 -4 -21 -11 -12 -4 -14 -1 -12 -12 -9 -18 -21 -5 -4 -5 -13 -16 -11 -4 -13 -6 -20 -21 -13 -19 -10 0 0 -14 -5 -18 -7 -6 -7 -20 -1 -8 -3 -21 4 -19 -8 -9 -1 -17 8 -12 1 -15 -3 -11 3 -19 7 -15 3 -13 10 -20 2 -20 4 -20 9 -15 3 -10 13 -9 13 -18 17 -10 11 -10 14 -14 15 -14 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-74,11,1,2,1,1,1,0,0,0,0,-96,0,6,1,11152043,0,82,0,0,11.5952,384,[82 -96 4 0 0 0 0 0 0 0 0 0 5 -15 4 -13 5 -13 7 -15 6 -12 7 -11 8 -11 9 -11 8 -10 8 -10 10 -10 11 -9 11 -9 9 -9 10 -7 9 -9 9 -7 9 -9 8 -8 9 -8 8 -6 8 -6 7 -6 7 -6 8 -6 7 -6 0 0 7 -8 4 -7 5 -8 4 -8 5 -7 4 -9 5 -9 4 -9 4 -11 5 -12 4 -12 3 -9 3 -12 2 -11 4 -13 2 -14 2 -14 2 -13 1 -13 1 -14 2 -14 1 -13 2 -15 3 -15 2 -15 1 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-69,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,11260080,0,37,0,0,11.669,128,[37 80 2 0 0 0 0 0 0 0 0 0 22 -16 23 -15 25 -15 26 -13 23 -12 22 -10 24 -10 24 -10 24 -8 23 -7 25 -7 25 -7 24 -6 24 -5 23 -5 24 -4 22 -4 18 -5 19 -5 19 -5 18 -3 18 -4 16 -5 17 -5 17 -6 17 -6 0 0 16 -8 15 -9 16 -9 14 -10 13 -11 14 -12 14 -12 13 -13 11 -15 12 -15 16 -14 13 -13 13 -14 16 -16 14 -16 15 -17 16 -18 15 -18 15 -18 14 -18 15 -20 15 -19 14 -20 16 -20 13 -19 13 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-75,11,1,3,1,1,1,1,0,0,0,-96,6,6,1,11263749,0,110,0,0,11.7033,384,[110 96 6 0 0 0 0 0 0 0 0 0 -17 -12 -17 -15 -16 -16 -17 -16 -15 -17 -15 -17 -11 -16 -12 -17 -11 -16 -12 -17 -9 -17 -10 -17 -12 -17 -9 -16 -10 -16 -9 -15 -8 -16 -8 -15 -8 -14 -9 -15 -7 -14 -6 -14 -7 -12 -7 -11 -9 -12 -10 -12 0 0 -10 -9 -12 -9 -10 -10 -11 -8 -11 -9 -12 -9 -13 -9 -14 -9 -11 -8 -12 -6 -13 -7 -14 -7 -16 -6 -17 -6 -15 -7 -16 -5 -16 -5 -19 -5 -18 -5 -18 -5 -18 -6 -20 -7 -19 -4 -18 -5 -19 -4 -19 -3 0 0 0 0 0 0 0 0 0 0 ]
