type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,40:91:51:FC:DF:8D,-63,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,40644,0,34,0,0,0.449418,128,[34 32 2 0 0 0 0 0 0 0 0 0 -14 18 -14 16 -16 17 -17 16 -17 16 -16 15 -18 14 -17 12 -19 13 -18 11 -19 13 -21 14 -19 13 -22 15 -21 12 3 22 -27 -7 -20 17 -25 -3 -19 12 -18 13 -21 6 -16 8 -19 9 -19 8 -20 6 0 0 -20 7 -20 9 -20 7 -19 9 -16 7 -18 10 -19 4 -20 7 -18 7 -21 7 -21 6 -17 5 -19 8 -21 6 -20 6 -21 6 -22 6 -20 5 -21 5 -19 5 -21 5 -21 4 -20 5 -21 6 -20 6 -19 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-63,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,97736,0,131,0,0,0.506082,128,[-125 48 8 0 0 0 0 0 0 0 0 0 12 -25 13 -24 14 -25 15 -25 14 -24 15 -22 15 -23 15 -21 17 -22 16 -22 18 -23 18 -22 18 -21 18 -21 16 -19 19 -21 16 -21 14 -20 16 -20 16 -19 16 -17 16 -20 14 -18 15 -20 16 -21 17 -20 0 0 15 -20 15 -22 15 -21 14 -22 14 -20 15 -21 15 -21 14 -20 13 -21 15 -20 16 -21 13 -20 13 -21 14 -21 15 -21 13 -22 13 -23 13 -21 15 -22 13 -22 13 -22 13 -23 12 -22 12 -23 11 -22 11 -22 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,4101768,0,30,0,0,4.51023,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -24 -6 -23 -5 -26 -6 -25 -7 -26 -6 -22 -7 -25 -6 -21 -7 -25 -6 -24 -10 -25 -11 -25 -11 -24 -11 -22 -10 -20 -8 -25 -9 -23 -7 -24 -7 -22 -7 -22 -6 -22 -7 -24 -7 -23 -8 -22 -9 -23 -9 -22 -10 0 0 -23 -7 -25 -5 -23 -5 -26 -4 -23 -5 -24 -4 -24 -4 -24 -4 -24 -2 -24 -7 -25 -6 -22 -6 -24 -4 -24 -4 -26 -1 -25 -2 -28 -2 -25 -2 -26 -1 -25 1 -26 -2 -26 1 -27 -1 -26 -2 -26 -1 -24 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-63,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8581585,0,131,0,0,8.99036,128,[-125 48 8 0 0 0 0 0 0 0 0 0 20 2 20 1 22 3 22 3 22 2 20 2 21 3 20 3 22 4 22 5 23 5 23 5 23 6 22 5 21 5 25 6 23 5 23 4 22 5 23 5 22 6 24 6 21 6 23 5 25 7 24 8 0 0 24 6 26 6 26 6 26 5 24 5 25 6 25 7 25 6 25 5 25 8 26 7 23 6 25 6 26 5 26 7 27 6 28 6 25 5 27 6 25 4 27 5 26 5 26 5 27 5 25 5 25 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-63,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8583872,0,135,0,0,9.01765,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -7 -18 -6 -17 -7 -21 -6 -19 -7 -20 -6 -18 -5 -20 -5 -19 -5 -21 -5 -21 -6 -22 -6 -22 -5 -22 -5 -23 -5 -20 -5 -24 -5 -21 -7 -21 -6 -19 -5 -21 -5 -21 -5 -23 -5 -21 -5 -22 -6 -23 -4 -23 0 0 -5 -23 -7 -25 -6 -23 -8 -25 -7 -21 -6 -24 -5 -24 -6 -22 -8 -25 -6 -26 -6 -25 -7 -22 -8 -23 -7 -23 -7 -25 -8 -24 -8 -26 -6 -23 -7 -24 -7 -24 -7 -25 -7 -24 -9 -24 -9 -24 -9 -23 -9 -22 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-63,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8670568,0,239,0,0,9.07936,128,[-17 -16 14 0 0 0 0 0 0 0 0 0 10 16 9 16 10 19 9 19 9 18 8 18 8 18 6 18 8 19 8 18 9 19 8 20 9 20 8 19 7 18 9 22 8 19 8 19 8 19 7 20 6 19 7 21 7 19 9 20 9 21 8 21 0 0 8 21 11 22 10 22 11 21 9 20 9 22 8 22 9 21 10 21 8 21 10 22 10 19 11 20 10 21 10 21 11 22 12 23 10 21 11 22 10 21 10 21 11 21 12 20 13 21 12 19 12 20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-66,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,10082125,0,37,0,0,10.4908,128,[37 80 2 0 0 0 0 0 0 0 0 0 41 -32 44 -28 60 -23 71 -22 53 -28 47 -29 53 -21 37 -29 57 -26 58 -27 81 -19 83 -18 68 -16 66 -19 60 -37 97 -22 75 -20 58 -39 65 -33 62 -22 61 -32 81 -26 58 -38 69 -21 84 -30 71 -19 0 0 83 -29 87 -29 85 -26 79 -42 70 -32 81 -39 77 -29 67 -33 74 -40 70 -22 87 -30 63 -29 67 -43 71 -26 76 -30 74 -35 91 -38 69 -36 72 -37 69 -38 73 -37 67 -43 63 -38 73 -47 61 -43 59 -41 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-68,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,10084916,0,82,0,0,10.5272,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -9 -14 -9 -14 -10 -13 -9 -13 -10 -13 -9 -14 -8 -15 -7 -15 -8 -15 -8 -15 -8 -16 -8 -17 -7 -15 -8 -15 -8 -15 -8 -17 -8 -16 -7 -16 -7 -15 -7 -16 -8 -16 -7 -16 -7 -17 -7 -15 -8 -18 -7 -18 0 0 -8 -16 -8 -17 -8 -17 -9 -18 -7 -16 -8 -17 -7 -17 -8 -17 -8 -17 -8 -16 -8 -17 -8 -16 -9 -17 -8 -16 -8 -16 -8 -17 -9 -17 -9 -17 -9 -17 -10 -17 -9 -17 -9 -16 -10 -16 -10 -16 -9 -17 -10 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-63,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,10176072,0,37,0,0,10.5847,128,[37 80 2 0 0 0 0 0 0 0 0 0 -18 14 -17 12 -20 13 -20 13 -20 12 -19 12 -21 12 -20 10 -21 11 -21 12 -22 12 -23 12 -22 11 -21 11 -20 10 -23 13 -22 12 -21 12 -21 11 -21 11 -21 9 -22 11 -21 10 -22 12 -23 12 -23 11 0 0 -22 12 -23 15 -22 13 -24 15 -22 12 -23 12 -23 12 -23 12 -22 13 -24 12 -24 14 -21 13 -21 14 -22 12 -23 15 -22 15 -25 15 -23 14 -24 14 -23 14 -24 14 -22 15 -23 15 -24 16 -21 16 -20 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-68,11,1,4,1,1,1,1,0,0,0,-96,1,6,1,10185481,0,110,0,0,10.6253,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 -17 1 -17 1 -16 2 -16 2 -16 2 -16 3 -16 3 -16 3 -16 3 -15 3 -17 4 -17 4 -16 4 -16 3 -15 5 -18 4 -16 4 -16 5 -15 4 -16 4 -16 5 -16 5 -16 6 -15 5 -17 4 -17 0 0 5 -17 5 -17 5 -18 4 -18 5 -16 4 -16 5 -17 4 -17 4 -18 3 -18 4 -18 4 -17 4 -18 4 -18 4 -18 3 -19 4 -18 3 -18 3 -18 2 -19 3 -19 3 -19 3 -17 4 -18 3 -18 3 -19 0 0 0 0 0 0 0 0 0 0 ]
