type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,40:91:51:FC:DF:8D,-65,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,45258,0,34,0,0,0.454142,128,[34 32 2 0 0 0 0 0 0 0 0 0 -10 15 -11 14 -13 15 -14 15 -14 15 -13 13 -15 14 -14 13 -16 13 -16 13 -17 13 -18 14 -17 13 -18 13 -16 11 -19 14 -17 13 -15 13 -16 12 -17 12 -17 11 -19 13 -17 12 -18 12 -19 13 -20 11 0 0 -19 13 -19 15 -20 14 -18 15 -17 13 -18 14 -19 14 -19 14 -16 14 -17 14 -19 15 -18 13 -16 14 -17 14 -17 15 -17 15 -17 16 -16 14 -17 15 -16 14 -15 16 -15 16 -14 16 -15 16 -12 16 -12 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-65,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,99739,0,131,0,0,0.508124,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -10 17 -11 18 -13 17 -15 17 -13 16 -14 17 -15 15 -16 14 -16 15 -15 14 -17 17 -17 16 -18 15 -17 16 -17 15 -19 16 -18 16 -16 15 -18 15 -18 15 -19 14 -20 15 -17 14 -18 17 -20 16 -21 15 0 0 -21 15 -20 17 -21 17 -18 17 -19 15 -20 15 -21 15 -19 15 -17 16 -17 15 -19 18 -16 16 -16 17 -18 17 -17 17 -18 18 -17 19 -16 18 -17 18 -16 18 -17 19 -16 19 -14 20 -14 20 -13 20 -11 19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-65,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,4100820,0,30,0,0,4.50933,128,[30 -32 1 0 0 0 0 0 0 0 0 0 14 -10 13 -7 16 -8 17 -7 15 -5 16 -6 15 -5 15 -3 16 -4 16 -4 17 -4 18 -4 17 -3 17 -2 16 -2 18 -2 17 -3 16 -3 16 -2 16 -2 15 -1 17 -2 15 -2 15 -2 17 -2 16 -1 0 0 16 -2 17 -3 16 -3 16 -4 15 -3 16 -3 15 -3 15 -3 14 -4 14 -3 16 -4 13 -4 14 -6 15 -5 15 -5 16 -5 15 -6 14 -6 15 -6 14 -6 14 -7 14 -8 13 -8 14 -8 13 -8 13 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-63,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8970031,0,239,0,0,9.37901,128,[-17 -16 14 0 0 0 0 0 0 0 0 0 -19 -14 -18 -15 -19 -17 -19 -20 -17 -18 -17 -19 -16 -21 -14 -21 -15 -21 -16 -20 -17 -22 -19 -23 -16 -23 -16 -23 -14 -22 -15 -25 -16 -24 -14 -22 -14 -23 -13 -23 -11 -24 -12 -25 -11 -20 -15 -23 -15 -25 -13 -25 0 0 -14 -23 -15 -22 -14 -24 -15 -20 -14 -22 -14 -23 -13 -22 -13 -21 -14 -20 -12 -19 -17 -21 -14 -17 -17 -17 -17 -18 -16 -17 -18 -19 -19 -18 -18 -17 -17 -18 -17 -16 -18 -16 -19 -16 -18 -13 -21 -14 -20 -12 -20 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-66,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,10093603,0,37,0,0,10.5024,128,[37 80 2 0 0 0 0 0 0 0 0 0 11 -22 12 -22 14 -24 16 -23 15 -21 17 -21 17 -20 17 -20 18 -20 19 -19 22 -19 21 -19 23 -17 22 -18 20 -17 23 -18 21 -18 19 -17 20 -16 20 -16 21 -16 22 -18 20 -15 20 -15 22 -16 23 -15 0 0 22 -17 21 -18 21 -16 19 -17 18 -16 19 -18 18 -15 17 -17 15 -19 17 -15 19 -17 15 -15 14 -17 14 -18 14 -18 15 -19 14 -20 12 -18 13 -20 10 -19 11 -20 10 -20 9 -20 10 -21 6 -20 7 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-73,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,10093822,0,82,0,0,10.5387,384,[82 -96 4 0 0 0 0 0 0 0 0 0 0 -14 0 -15 1 -15 0 -14 2 -15 3 -14 4 -16 4 -14 3 -14 3 -14 5 -15 4 -15 6 -13 5 -13 5 -13 6 -13 5 -14 6 -14 6 -13 7 -14 6 -14 6 -14 7 -14 7 -13 7 -13 6 -13 0 0 6 -12 6 -12 6 -13 5 -14 5 -14 5 -12 4 -12 5 -13 6 -11 3 -10 0 -13 2 -11 3 -12 1 -12 1 -13 2 -12 0 -12 0 -13 0 -12 0 -12 -1 -13 -2 -12 -1 -12 -3 -12 -2 -13 -3 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-64,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,10182206,0,37,0,0,10.5908,128,[37 80 2 0 0 0 0 0 0 0 0 0 -10 -20 -8 -20 -9 -22 -7 -23 -6 -22 -5 -22 -5 -23 -3 -23 -2 -24 -2 -23 -3 -25 -2 -26 -2 -25 -2 -25 -1 -23 -1 -25 0 -24 -1 -21 0 -23 1 -23 2 -22 2 -24 1 -21 0 -23 0 -23 2 -23 0 0 0 -23 -2 -25 -1 -23 -2 -23 0 -21 -1 -22 -1 -23 -2 -21 -3 -21 -2 -21 -3 -23 -3 -19 -6 -21 -5 -21 -5 -21 -4 -23 -6 -21 -6 -20 -6 -22 -6 -21 -7 -22 -7 -21 -9 -19 -10 -21 -9 -20 -10 -19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-71,11,1,5,1,1,1,1,0,0,0,-96,1,6,1,10230395,0,110,0,0,10.6386,384,[110 96 6 0 0 0 0 0 0 0 0 0 -3 -16 -2 -16 0 -15 0 -17 1 -16 1 -17 2 -17 3 -16 4 -16 4 -15 3 -16 5 -16 4 -15 5 -16 4 -15 5 -16 5 -16 4 -14 4 -14 5 -15 4 -15 4 -15 5 -14 5 -13 6 -15 5 -15 0 0 5 -15 5 -16 5 -14 4 -15 4 -14 4 -15 4 -14 2 -14 3 -15 3 -15 1 -15 1 -14 2 -14 0 -15 1 -15 0 -16 -1 -15 -1 -17 -1 -15 -1 -15 -2 -15 -2 -16 -3 -15 -4 -16 -3 -16 -3 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-70,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,10275729,0,110,0,0,10.684,384,[110 96 6 0 0 0 0 0 0 0 0 0 -8 12 -8 11 -9 12 -10 12 -10 11 -12 10 -12 10 -12 9 -12 10 -12 9 -13 9 -11 10 -13 9 -13 9 -12 8 -14 9 -13 9 -13 8 -14 7 -14 7 -13 7 -14 6 -14 6 -14 7 -16 7 -15 7 0 0 -14 6 -14 7 -13 7 -13 7 -13 7 -13 6 -14 7 -12 7 -13 8 -11 9 -12 9 -11 8 -12 9 -11 9 -12 9 -12 10 -10 10 -10 11 -11 10 -9 11 -10 11 -10 10 -10 9 -10 11 -9 11 -9 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-71,11,1,4,1,1,1,1,0,0,0,-96,1,6,1,10291033,0,110,0,0,10.7169,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 -9 -14 -10 -14 -11 -14 -11 -12 -12 -13 -13 -11 -13 -13 -14 -12 -14 -12 -13 -10 -14 -13 -14 -12 -15 -9 -15 -10 -14 -10 -15 -10 -15 -10 -15 -9 -15 -10 -15 -8 -15 -11 -15 -10 -15 -10 -15 -8 -14 -8 -16 0 0 -9 -16 -11 -15 -9 -15 -9 -14 -9 -14 -9 -14 -9 -14 -10 -13 -10 -13 -11 -13 -12 -12 -11 -13 -11 -11 -12 -12 -11 -11 -13 -11 -13 -10 -13 -12 -13 -11 -14 -9 -14 -10 -15 -9 -13 -9 -15 -10 -14 -8 -14 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,40:91:51:FC:DF:8D,-70,11,1,3,1,1,1,1,0,0,0,-96,2,6,1,10371467,0,110,0,0,10.7799,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 13 -7 14 -8 13 -9 14 -9 13 -10 14 -10 13 -9 13 -11 12 -10 9 -14 12 -11 9 -13 11 -12 11 -12 11 -14 11 -13 10 -14 10 -13 10 -13 10 -13 10 -13 10 -14 10 -13 9 -12 10 -13 10 0 0 -14 11 -14 10 -13 10 -12 10 -11 9 -11 9 -11 9 -11 9 -12 10 -11 11 -9 11 -10 10 -10 11 -9 11 -10 12 -9 13 -9 11 -7 12 -7 11 -7 12 -6 12 -7 12 -6 12 -5 13 -5 12 -4 13 0 0 0 0 0 0 0 0 0 0 ]
